File Type,File Path,Line Number,Docker Command/Reference,Context/Usage,Category,Notes
Makefile,/Makefile,117,docker buildx create --name mcp-builder --use --bootstrap,Setup Docker Buildx for multi-platform builds,Build Infrastructure,
Makefile,/Makefile,118,docker buildx inspect --bootstrap,Verify Docker Buildx setup,Build Infrastructure,
Makefile,/Makefile,127,docker buildx build,Build all images with BuildKit,Image Building,Multi-platform build (linux/amd64,linux/arm64)
Makefile,/Makefile,150,docker buildx build,Build images with SBOM generation,Image Building,Includes provenance and SBOM generation
Makefile,/Makefile,174,docker buildx build,Push all images to registry,Image Publishing,Multi-platform push to registry
Makefile,/Makefile,304,docker-compose -f services/text-summarization/auth-service/docker-compose.yml up -d,Start local development environment,Development,Legacy local dev setup
Makefile,/Makefile,313,docker-compose -f docker-compose.dev.yml up -d,Start local development stack,Development,Main dev stack (Postgres/Vault/Redis)
Makefile,/Makefile,327,docker-compose -f docker-compose.dev.yml down,Stop local development stack,Development,
Makefile,/Makefile,332,docker-compose -f docker-compose.dev.yml ps,Check stack status,Development,
Makefile,/Makefile,337,docker-compose -f docker-compose.dev.yml logs -f,View stack logs,Development,
Makefile,/Makefile,342,docker-compose -f docker-compose.dev.yml --profile gh-tools up -d gh-cli,Start GitHub CLI service,Development,Optional GitHub tools
Makefile,/Makefile,384,docker system prune -f,Clean up build artifacts,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,42,command -v docker,Check Docker prerequisite,Prerequisites Check,
Shell Script,/scripts/test-ci-cd.sh,57,docker buildx version,Check Docker BuildKit availability,Prerequisites Check,
Shell Script,/scripts/test-ci-cd.sh,59,docker buildx create --name local-builder --use --bootstrap,Setup local BuildKit builder,Build Infrastructure,
Shell Script,/scripts/test-ci-cd.sh,68,docker ps | grep registry:2,Check if local registry is running,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,69,docker run -d -p 5000:5000 --name local-registry registry:2,Start local Docker registry,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,70,docker start local-registry,Start existing registry container,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,181,docker buildx build,Build images with BuildKit and SBOM,Image Building,CI/CD pipeline build step
Shell Script,/scripts/test-ci-cd.sh,260,docker network connect kind local-registry,Connect registry to kind network,Kubernetes Integration,
Shell Script,/scripts/test-ci-cd.sh,261,docker network connect kind local-registry,Connect registry to kind network,Kubernetes Integration,
Shell Script,/scripts/test-ci-cd.sh,285,docker stop local-registry,Stop local registry,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,286,docker rm local-registry,Remove local registry container,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,289,docker system prune -f,Clean up Docker system,Cleanup,
Shell Script,/scripts/generate-certs.sh,237,mkdir -p ${CERTS_DIR}/docker,Create Docker certificates directory,Certificate Management,Prepare certs for Docker Compose
Shell Script,/scripts/verify-dev-setup.sh,34,command -v docker,Check Docker installation,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,36,docker ps,Check Docker daemon is running,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,48,command -v docker-compose,Check Docker Compose installation,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,86,docker-compose.dev.yml exists check,Verify development compose file exists,Project Structure Check,
Shell Script,/scripts/verify-dev-setup.sh,87,docker-compose -f docker-compose.dev.yml ps | grep Up,Check if development stack is running,Stack Verification,
Shell Script,/scripts/verify-dev-setup.sh,89,docker-compose -f docker-compose.dev.yml up -d,Start development stack if needed,Development Stack,
Shell Script,/scripts/verify-dev-setup.sh,144,docker-compose -f docker-compose.dev.yml ps postgres,Check PostgreSQL service status,Service Health Check,
Shell Script,/scripts/verify-dev-setup.sh,151,docker-compose -f docker-compose.dev.yml ps vault,Check Vault service status,Service Health Check,
Shell Script,/scripts/verify-dev-setup.sh,158,docker-compose -f docker-compose.dev.yml ps redis,Check Redis service status,Service Health Check,
Shell Script,/scripts/verify-dev-setup.sh,165,docker-compose -f docker-compose.dev.yml ps jwks-server,Check JWKS server status,Service Health Check,
Shell Script,/scripts/verify-dev-setup.sh,172,docker-compose -f docker-compose.dev.yml ps adminer,Check Adminer status,Service Health Check,
Shell Script,/services/text-summarization/build.sh,28,docker build,Build text-summarization Docker image,Image Building,Service-specific build script
Shell Script,/services/text-summarization/build.sh,42,docker run --rm,Test container runs as non-root,Security Testing,UID verification
Shell Script,/services/text-summarization/build.sh,50,docker history,Check for distroless base image,Security Verification,
Shell Script,/services/text-summarization/build.sh,59,docker run -d -p 8001:8000,Test container startup,Integration Testing,Health check verification
Shell Script,/services/text-summarization/build.sh,69,docker logs,View container logs on failure,Debugging,
Shell Script,/services/text-summarization/build.sh,73,docker stop,Stop test container,Cleanup,
Shell Script,/services/text-summarization/build.sh,74,docker rm,Remove test container,Cleanup,
Makefile,/services/text-summarization/Makefile,114,docker-compose -f ../docker-compose.dev.yml ps,Check if development stack is running,Development Stack Check,Ensure stack target
Makefile,/services/text-summarization/Makefile,116,docker-compose -f ../docker-compose.dev.yml up -d,Start development stack,Development Stack,
Makefile,/services/text-summarization/Makefile,152,docker build -t text-summarization-service:latest,Build service Docker image,Image Building,
Makefile,/services/text-summarization/Makefile,156,docker run --rm,Run Trivy security scan,Security Scanning,Vulnerability scanning
Makefile,/services/text-summarization/auth-service/Makefile,45,docker build -t auth-service:latest,Build auth service Docker image,Image Building,
Makefile,/services/text-summarization/auth-service/Makefile,49,docker-compose up -d,Start auth service stack,Development,
Makefile,/services/text-summarization/auth-service/Makefile,53,docker-compose down,Stop auth service stack,Development,
Makefile,/services/text-summarization/auth-service/Makefile,57,docker-compose up,Start and view logs,Development,
Makefile,/services/text-summarization/auth-service/Makefile,66,docker-compose -f ../../../docker-compose.dev.yml ps,Check main dev stack status,Development Stack Check,
Makefile,/services/text-summarization/auth-service/Makefile,68,docker-compose -f ../../../docker-compose.dev.yml up -d,Start main dev stack,Development Stack,
Makefile,/services/context-service/Makefile,87,docker-compose -f ../../docker-compose.dev.yml ps,Check development stack status,Development Stack Check,
Makefile,/services/context-service/Makefile,89,docker-compose -f ../../docker-compose.dev.yml up -d,Start development stack,Development Stack,
Makefile,/services/context-service/Makefile,123,docker build -t context-service:latest,Build context service Docker image,Image Building,
GitHub Actions,/.github/workflows/enhanced-ci-cd.yml,549,docker pull,Pull built images for kind deployment,Kubernetes Deployment,
Test Python,/tests/conftest.py,72,docker-compose -f ../docker-compose.dev.yml up -d,Start test stack,Testing Infrastructure,
Test Python,/tests/conftest.py,76,docker-compose -f ../docker-compose.dev.yml down,Stop test stack,Testing Cleanup,
Test Python,/tests/e2e/test_workflow.py,6,import docker,Import Docker Python SDK,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,35,docker.from_env(),Create Docker client,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,43,client.containers.run,Run test containers,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,93,client.images.build,Build test images,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,97,client.containers.run,Run integration test containers,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,103,client.containers.run,Run security test containers,E2E Testing,
Test Python,/tests/e2e/test_workflow.py,415,client.containers.list,List running containers for cleanup,E2E Testing,
GitHub Actions,/services/text-summarization/.github/workflows/ci.yml,249,docker build -t text-summarization-service:latest,Build Docker image for security scan,CI/CD Pipeline,
DockerFile,/services/context-service/Dockerfile,N/A,Dockerfile,Context service container definition,Container Definition,
DockerFile,/services/text-summarization/Dockerfile,N/A,Dockerfile,Text summarization service container definition,Container Definition,
DockerFile,/services/text-summarization/auth-service/Dockerfile,N/A,Dockerfile,Auth service container definition,Container Definition,
DockerFile,/tools/github-cli/Dockerfile,N/A,Dockerfile,GitHub CLI tools container definition,Container Definition,
Docker Compose,/docker-compose.dev.yml,N/A,docker-compose file,Main development stack (Postgres/Vault/Redis/JWKS/Adminer),Development Infrastructure,
Docker Compose,/services/text-summarization/auth-service/docker-compose.yml,N/A,docker-compose file,Auth service development stack,Service Development,
Docker Compose,/services/text-summarization/docker-compose.observability.yml,N/A,docker-compose file,Observability stack for text-summarization,Monitoring Infrastructure,
Markdown Doc,/services/text-summarization/auth-service/README.md,38,docker-compose up -d,Usage instruction,Documentation,
Markdown Doc,/services/text-summarization/auth-service/README.md,232,docker build,Build instruction,Documentation,
Markdown Doc,/services/text-summarization/auth-service/README.md,324,docker-compose logs,Debugging instruction,Documentation,
Markdown Doc,/tests/e2e/README.md,9,docker-compose -f ../docker-compose.dev.yml up -d,Test setup instruction,Documentation,
Markdown Doc,/tests/e2e/README.md,19,docker-compose -f ../docker-compose.dev.yml down,Test teardown instruction,Documentation,
Markdown Doc,/tests/e2e/README.md,90,docker build,Build instruction for E2E tests,Documentation,
Markdown Doc,/tests/e2e/README.md,109,docker run,Run instruction for E2E tests,Documentation,
Markdown Doc,/README-CICD.md,211,docker buildx,CI/CD pipeline documentation,Documentation,
Markdown Doc,/services/text-summarization/README.md,20,docker build,Build instruction,Documentation,
Markdown Doc,/services/text-summarization/README.md,27,docker run,Run instruction,Documentation,
Markdown Doc,/services/text-summarization/README.md,302,docker-compose up,Development setup,Documentation,
Markdown Doc,/services/text-summarization/README.md,317,docker logs,Debugging instruction,Documentation,
Markdown Doc,/services/context-service/README.md,111,docker build,Build instruction,Documentation,
Markdown Doc,/services/context-service/README.md,114,docker run,Run instruction,Documentation,
Markdown Doc,/LOCAL_DEVELOPMENT.md,210,docker-compose -f docker-compose.dev.yml up -d,Local development setup,Documentation,
Markdown Doc,/LOCAL_DEVELOPMENT.md,224,docker-compose logs,View logs instruction,Documentation,
Markdown Doc,/LOCAL_DEV_SETUP_SUMMARY.md,16,docker-compose.dev.yml,Development stack reference,Documentation,
Markdown Doc,/LOCAL_DEV_SETUP_SUMMARY.md,155,docker build,Build instruction,Documentation,
Markdown Doc,/LOCAL_DEV_SETUP_SUMMARY.md,180,docker run,Run instruction,Documentation,
Markdown Doc,/README.md,330,docker-compose up,Quick start instruction,Documentation,
Markdown Doc,/README.md,384,docker system prune,Cleanup instruction,Documentation,
Markdown Doc,/README.md,385,docker volume prune,Volume cleanup instruction,Documentation,
Markdown Doc,/services/text-summarization/OBSERVABILITY.md,106,docker-compose -f docker-compose.observability.yml up -d,Start observability stack,Documentation,
Markdown Doc,/services/text-summarization/OBSERVABILITY.md,109,docker-compose logs,View observability logs,Documentation,
Markdown Doc,/services/text-summarization/OBSERVABILITY.md,216,docker stats,Monitor container resources,Documentation,
Markdown Doc,/services/text-summarization/OBSERVABILITY.md,218,docker-compose ps,Check service status,Documentation,
Markdown Doc,/services/text-summarization/OBSERVABILITY.md,240,docker exec,Execute commands in containers,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,47,docker build,Build GitHub CLI tools image,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,50,docker-compose up,Start GitHub CLI tools,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,218,docker-compose exec,Execute GitHub CLI commands,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,221,docker run,Run GitHub CLI tools,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,294,docker-compose down,Stop GitHub CLI tools,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,297,docker stop,Stop specific containers,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,300,docker rm,Remove containers,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,306,docker volume rm,Remove volumes,Documentation,
Markdown Doc,/docs/integrations/github-cli.md,307,docker network rm,Remove networks,Documentation,
Markdown Doc,/services/text-summarization/SECURITY.md,173,docker scan,Security scanning instruction,Documentation,
Markdown Doc,/tools/github-cli/README.md,38,docker build,Build GitHub CLI image,Documentation,
Markdown Doc,/tools/github-cli/README.md,45,docker run,Run GitHub CLI container,Documentation,
Markdown Doc,/tools/github-cli/README.md,48,docker-compose up,Start with compose,Documentation,
Config File,/services/text-summarization/.dockerignore,37,# docker-compose files,Docker ignore comment,Build Configuration,
Config File,/services/text-summarization/.dockerignore,39,docker-compose.override.yml,Docker compose override file,Build Configuration,
